Source,Target,Weight,Type
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_Arbeiter-VersicherungUnternehmer154,2,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_KriegslageGefahrenklassen281,1,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_UnfallverhuetungErsteHilfe267,3,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,6,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannH_flötenunddolchenovellen,4,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannT_dertodinvenedig,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_dieermordungeinerbutterblumeundandereerzählungen,6,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_beschreibungeineskampfes,3,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_derprozess,2,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_derverschollene,2,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_dieverwandlung,2,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_dertodinvenedig,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,walser_geschichten,3,undirected
hesse_diesseitserzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,3,undirected
hesse_diesseitserzählungen,hesse_märchen,1,undirected
hesse_diesseitserzählungen,hesse_nachbarnerzählungen,4,undirected
hesse_diesseitserzählungen,hesse_schönistdiejugendzweierzählungen,4,undirected
hesse_diesseitserzählungen,hesse_umwegeerzählungen,5,undirected
hesse_diesseitserzählungen,kafka_beschreibungeineskampfes,1,undirected
hesse_diesseitserzählungen,mannH_dietoteundanderenovellen,1,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_diesseitserzählungen,3,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_nachbarnerzählungen,2,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_umwegeerzählungen,1,undirected
hesse_märchen,hesse_diesseitserzählungen,1,undirected
hesse_märchen,walser_geschichten,3,undirected
hesse_märchen,walser_kleinedichtungen,4,undirected
hesse_nachbarnerzählungen,hesse_diesseitserzählungen,4,undirected
hesse_nachbarnerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,2,undirected
hesse_nachbarnerzählungen,hesse_schönistdiejugendzweierzählungen,3,undirected
hesse_nachbarnerzählungen,hesse_umwegeerzählungen,6,undirected
hesse_nachbarnerzählungen,kafka_dasschloß,1,undirected
hesse_nachbarnerzählungen,kafka_dieverwandlung,1,undirected
hesse_schönistdiejugendzweierzählungen,hesse_diesseitserzählungen,4,undirected
hesse_schönistdiejugendzweierzählungen,hesse_nachbarnerzählungen,3,undirected
hesse_schönistdiejugendzweierzählungen,hesse_umwegeerzählungen,2,undirected
hesse_umwegeerzählungen,hesse_diesseitserzählungen,5,undirected
hesse_umwegeerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,1,undirected
hesse_umwegeerzählungen,hesse_nachbarnerzählungen,6,undirected
hesse_umwegeerzählungen,hesse_schönistdiejugendzweierzählungen,2,undirected
hesse_umwegeerzählungen,kafka_dasschloß,3,undirected
hesse_umwegeerzählungen,kafka_derprozess,1,undirected
hesse_umwegeerzählungen,kafka_derverschollene,1,undirected
hesse_umwegeerzählungen,mannT_derkleineherrfriedemannnovellen,1,undirected
hesse_umwegeerzählungen,mannT_dertodinvenedig,1,undirected
hesse_umwegeerzählungen,mannT_toniokröger,1,undirected
hesse_umwegeerzählungen,walser_derspaziergang,2,undirected
kafka_beschreibungeineskampfes,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,3,undirected
kafka_beschreibungeineskampfes,hesse_diesseitserzählungen,1,undirected
kafka_beschreibungeineskampfes,walser_geschichten,2,undirected
kafka_dasschloß,hesse_nachbarnerzählungen,1,undirected
kafka_dasschloß,hesse_umwegeerzählungen,3,undirected
kafka_dasschloß,kafka_derprozess,2,undirected
kafka_dasurteil,kafkaAmt_Arbeiter-VersicherungUnternehmer154,3,undirected
kafka_dasurteil,kafkaAmt_KriegslageGefahrenklassen281,1,undirected
kafka_dasurteil,kafkaAmt_UnfallverhuetungErsteHilfe267,2,undirected
kafka_derbau,kafka_forschungeineshundes,3,undirected
kafka_derbau,kafkaAmt_KriegslageGefahrenklassen281,3,undirected
kafka_derbau,kafkaAmt_UnfallverhuetungErsteHilfe267,1,undirected
kafka_derprozess,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,2,undirected
kafka_derprozess,hesse_umwegeerzählungen,1,undirected
kafka_derprozess,kafka_dasschloß,2,undirected
kafka_derprozess,kafka_derverschollene,6,undirected
kafka_derverschollene,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,2,undirected
kafka_derverschollene,hesse_umwegeerzählungen,1,undirected
kafka_derverschollene,kafka_derprozess,6,undirected
