Source,Target,Weight,Type
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_Arbeiter-VersicherungUnternehmer154,4,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_BriefandenVorstand133,4,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_KriegslageGefahrenklassen281,4,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafkaAmt_UnfallverhuetungErsteHilfe267,15,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,mannT_dertodinvenedig,3,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,30,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,kafka_beschreibungeineskampfes,1,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,kafka_dieverwandlung,3,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannH_flötenunddolchenovellen,17,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannT_derkleineherrfriedemannnovellen,1,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannT_dertodinvenedig,4,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_dieermordungeinerbutterblumeundandereerzählungen,30,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_beschreibungeineskampfes,14,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_derprozess,10,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_derverschollene,11,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_dieverwandlung,11,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_dertodinvenedig,5,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,walser_geschichten,15,undirected
hesse_diesseitserzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,15,undirected
hesse_diesseitserzählungen,hesse_märchen,8,undirected
hesse_diesseitserzählungen,hesse_nachbarnerzählungen,21,undirected
hesse_diesseitserzählungen,hesse_schönistdiejugendzweierzählungen,22,undirected
hesse_diesseitserzählungen,hesse_umwegeerzählungen,22,undirected
hesse_diesseitserzählungen,kafka_beschreibungeineskampfes,5,undirected
hesse_diesseitserzählungen,mannH_dietoteundanderenovellen,7,undirected
hesse_diesseitserzählungen,mannT_toniokröger,1,undirected
hesse_diesseitserzählungen,walser_kleinedichtungen,1,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_diesseitserzählungen,15,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_nachbarnerzählungen,9,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_umwegeerzählungen,6,undirected
hesse_märchen,hesse_diesseitserzählungen,8,undirected
hesse_märchen,mannH_dietoteundanderenovellen,2,undirected
hesse_märchen,mannH_flötenunddolchenovellen,2,undirected
hesse_märchen,walser_geschichten,18,undirected
hesse_märchen,walser_kleinedichtungen,17,undirected
hesse_nachbarnerzählungen,hesse_diesseitserzählungen,21,undirected
hesse_nachbarnerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,9,undirected
hesse_nachbarnerzählungen,hesse_schönistdiejugendzweierzählungen,15,undirected
hesse_nachbarnerzählungen,hesse_umwegeerzählungen,30,undirected
hesse_nachbarnerzählungen,kafka_dasschloß,7,undirected
hesse_nachbarnerzählungen,kafka_dieverwandlung,3,undirected
hesse_nachbarnerzählungen,mannT_dertodinvenedig,2,undirected
hesse_schönistdiejugendzweierzählungen,hesse_diesseitserzählungen,22,undirected
hesse_schönistdiejugendzweierzählungen,hesse_nachbarnerzählungen,15,undirected
hesse_schönistdiejugendzweierzählungen,hesse_umwegeerzählungen,9,undirected
hesse_umwegeerzählungen,hesse_diesseitserzählungen,22,undirected
hesse_umwegeerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,6,undirected
hesse_umwegeerzählungen,hesse_nachbarnerzählungen,30,undirected
hesse_umwegeerzählungen,hesse_schönistdiejugendzweierzählungen,9,undirected
hesse_umwegeerzählungen,kafka_dasschloß,14,undirected
hesse_umwegeerzählungen,kafka_derprozess,5,undirected
hesse_umwegeerzählungen,kafka_derverschollene,6,undirected
hesse_umwegeerzählungen,mannH_dieehrgeizigenovelle,5,undirected
hesse_umwegeerzählungen,mannH_dietoteundanderenovellen,1,undirected
hesse_umwegeerzählungen,mannT_derkleineherrfriedemannnovellen,5,undirected
hesse_umwegeerzählungen,mannT_dertodinvenedig,5,undirected
hesse_umwegeerzählungen,mannT_toniokröger,6,undirected
hesse_umwegeerzählungen,walser_derspaziergang,9,undirected
kafka_beschreibungeineskampfes,doeblin_dieermordungeinerbutterblumeundandereerzählungen,1,undirected
kafka_beschreibungeineskampfes,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,14,undirected
kafka_beschreibungeineskampfes,hesse_diesseitserzählungen,5,undirected
kafka_beschreibungeineskampfes,mannT_derkleineherrfriedemannnovellen,1,undirected
kafka_beschreibungeineskampfes,walser_geschichten,9,undirected
kafka_dasschloß,hesse_nachbarnerzählungen,7,undirected
kafka_dasschloß,hesse_umwegeerzählungen,14,undirected
kafka_dasschloß,kafka_derprozess,9,undirected
kafka_dasurteil,kafkaAmt_Arbeiter-VersicherungUnternehmer154,13,undirected
kafka_dasurteil,kafkaAmt_BriefandenVorstand133,1,undirected
kafka_dasurteil,kafkaAmt_KriegslageGefahrenklassen281,4,undirected
kafka_dasurteil,kafkaAmt_UnfallverhuetungErsteHilfe267,12,undirected
kafka_derbau,kafka_forschungeineshundes,18,undirected
kafka_derbau,kafkaAmt_Arbeiter-VersicherungUnternehmer154,2,undirected
kafka_derbau,kafkaAmt_KriegslageGefahrenklassen281,13,undirected
kafka_derbau,kafkaAmt_UnfallverhuetungErsteHilfe267,5,undirected
kafka_derprozess,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,10,undirected
kafka_derprozess,hesse_umwegeerzählungen,5,undirected
kafka_derprozess,kafka_dasschloß,9,undirected
kafka_derprozess,kafka_derverschollene,28,undirected
