"doeblin_diebeidenfreundinnenundihrgiftmord" "doeblin_dieermordungeinerbutterblumeundandereerzählungen" "doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten" "hesse_diesseitserzählungen" "hesse_knulpdreigeschichtenausdemlebenknulps" "hesse_märchen" "hesse_nachbarnerzählungen" "hesse_schönistdiejugendzweierzählungen" "hesse_umwegeerzählungen" "kafka_beschreibungeineskampfes" "kafka_dasschloß" "kafka_dasurteil" "kafka_derbau" "kafka_derprozess" "kafka_derverschollene" "kafka_dieverwandlung" "kafka_forschungeineshundes" "kafka_Hungerkünstler" "kafka_inderstrafkolonie" "kafkaAmt_Arbeiter-VersicherungUnternehmer154" "kafkaAmt_Brief132" "kafkaAmt_BriefandenVorstand133" "kafkaAmt_KriegslageGefahrenklassen281" "kafkaAmt_RedeAmtseinsetzungdesDirektors121" "kafkaAmt_UnfallverhuetungErsteHilfe267" "mannH_dieehrgeizigenovelle" "mannH_dietoteundanderenovellen" "mannH_flötenunddolchenovellen" "mannT_derkleineherrfriedemannnovellen" "mannT_dertodinvenedig" "mannT_gladiusdeischwerestunde" "mannT_toniokröger" "walser_derspaziergang" "walser_dieschlachtbeisempach" "walser_geschichten" "walser_kleinedichtungen"
"k" 0.0205973223480947 0 0 0 0.0227117874176698 0 0.0201572263656521 0 0.00731154492944359 0 7.02990033222591 0 0 8.06980111255048 0 0 0 0 0 0.396301188903567 1.42857142857143 9.09090909090909 0 0 0.41958041958042 0 0 0 0 0 0 0 0 0 0 0
"karl" 0 0 0.0715768377353089 0.668493150684932 0.0227117874176698 0 0.423301753678694 0 0 0.1723395088324 0 0 0 0.00762020879372095 7.19303512458721 0 0 0 0 0 0 0 0 0 0.0699300699300699 0 0 0 0 0 0 0 0.031496062992126 0 0.0168067226890756 0
"augen" 0.123583934088568 1.40657388214391 0.586930069429533 0.547945205479452 1.13558937088349 1.23104638943102 0.312437008667607 0.527484730705164 0.38751188126051 0.990952175786299 0.431893687707641 0.837988826815642 0.31201248049922 0.358149813304885 0.498348844190934 0.503496503496504 0.40650406504065 0.65359477124183 0.882658359293873 0.132100396301189 0 0 0.0886524822695035 0 0.20979020979021 1.11008325624422 1.37221269296741 0.882899628252788 1.15861618798956 0.726965342349958 1.15511551155116 1.05553005966039 0.535433070866142 0.196850393700787 0.689075630252101 1.06297093649085
"frau" 1.9773429454171 0.695883920639621 0.450934077732446 0.219178082191781 0.590506472859414 0.690586998949107 0.514009272324128 0.0277623542476402 0.782335307450464 0.3877638948729 0.53156146179402 0 0 0.868703802484188 0.564395076553588 0.335664335664336 0 0 0 0 0 0 0 0 0 4.44033302497687 0.343053173241852 0.534386617100372 0.718015665796345 0.084530853761623 0 0 0.724409448818898 0.196850393700787 0.453781512605042 1.11679224973089
"hand" 0.123583934088568 0.651465798045603 0.536826283014816 0.734246575342466 0.704065409947763 0.51043386878847 0.251965329570651 0.860632981676846 0.394823426189954 0.904782421370099 0.431893687707641 0.837988826815642 0 1.01348776956489 0.960672470729511 0.503496503496504 0 0.326797385620915 0.674974039460021 0 0 0 0.177304964539007 0 0.34965034965035 0.462534690101758 1.02915951972556 0.720260223048327 0.799608355091384 0.321217244294167 0.385038503850385 0.504818724185406 0.251968503937008 0 0.504201680672269 0.403659849300323
"herr" 0.082389289392379 0.829138288421676 0.622718488297187 0.69041095890411 0.272541449012037 0.150127608467197 0.725660149163475 0.111049416990561 0.519119689990495 0.646273158121499 0.857142857142857 0.139664804469274 0.104004160166407 0.518174197973024 0.876613629540678 0.979020979020979 0 0 0 0 0 0 0 0 0 0.0925069380203515 0.171526586620926 0.0697026022304833 1.12597911227154 0.169061707523246 1.48514851485149 0.734281780633318 0.881889763779528 0 0.26890756302521 0.0538213132400431
"mann" 2.30690010298661 0.473793307669529 0.701453009806027 0.295890410958904 0.340676811265047 0.570484912175349 0.292279782301955 0.222098833981122 0.424069605907728 0.2154243860405 0.584717607973422 0 0 0.937285681627677 0.798558991293906 0.111888111888112 0 0 1.09034267912773 0 0 0 0 2.22222222222222 0 0.832562442183164 0.400228702115495 0.371747211895911 0.212140992167102 0.270498732037194 0.165016501650165 0.367140890316659 0.283464566929134 0.393700787401575 0.53781512605042 0.52475780409042
"zeit" 0.494335736354274 0.26650873556411 0.236203564526519 0.580821917808219 0.635930047694754 0.435370064554872 0.594638177786737 0.444197667962243 0.621481319002705 0.3877638948729 0.425249169435216 0.418994413407821 1.66406656266251 0.822982549721862 0.570399279495647 0.895104895104895 0.76219512195122 0.980392156862745 0.519210799584631 0.132100396301189 0 0 0.531914893617021 1.48148148148148 0.27972027972028 0.370027752081406 0.457404230989137 0.20910780669145 0.424281984334204 0.338123415046492 0.33003300330033 0.39008719596145 0.692913385826772 0 0.470588235294118 0.52475780409042
"gesicht" 0.102986611740474 1.09564702398579 0.601245436976594 0.438356164383562 0.522371110606405 0.52544662963519 0.322515621850433 0.444197667962243 0.336331066754405 0.646273158121499 0.299003322259136 0.698324022346369 0.0520020800832033 0.205745637430466 0.468327829480636 0.335664335664336 0.0508130081300813 0.163398692810458 0.83073727933541 0 0 0 0.0886524822695035 0 0 0.0925069380203515 0.800457404230989 0.720260223048327 0.571148825065274 0.236686390532544 0.275027502750275 0.413033501606241 0.283464566929134 0.78740157480315 0.53781512605042 0.376749192680301
"ja" 0.123583934088568 0.118448326917382 0.279149667167705 0.745205479452055 1.29457188280718 0.315267977781114 0.685345696432171 0.471960022209883 0.321707976895518 1.1202068074106 0.451827242524917 0.837988826815642 0.0520020800832033 0.56389545073535 0.54037826478535 0.111888111888112 0.152439024390244 0 0.311526479750779 0 0 0 0.0886524822695035 0 0 0.0925069380203515 0.171526586620926 0.348513011152416 0.391644908616188 0.118343195266272 0.22002200220022 0.7801743919229 0.031496062992126 0 0.218487394957983 0.121097954790097
