Source,Target,Weight,Type
doeblin_diebeidenfreundinnenundihrgiftmord,hesse_diesseitserzählungen,2,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,hesse_nachbarnerzählungen,3,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafka_dieverwandlung,1,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,6,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannT_dertodinvenedig,2,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannT_toniokröger,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_dieermordungeinerbutterblumeundandereerzählungen,6,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannH_flötenunddolchenovellen,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_derkleineherrfriedemannnovellen,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_toniokröger,2,undirected
hesse_diesseitserzählungen,doeblin_diebeidenfreundinnenundihrgiftmord,2,undirected
hesse_diesseitserzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,5,undirected
hesse_diesseitserzählungen,hesse_märchen,2,undirected
hesse_diesseitserzählungen,hesse_nachbarnerzählungen,5,undirected
hesse_diesseitserzählungen,hesse_schönistdiejugendzweierzählungen,4,undirected
hesse_diesseitserzählungen,kafka_beschreibungeineskampfes,3,undirected
hesse_diesseitserzählungen,walser_kleinedichtungen,2,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_diesseitserzählungen,5,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_märchen,1,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_nachbarnerzählungen,2,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,kafka_beschreibungeineskampfes,2,undirected
hesse_märchen,hesse_diesseitserzählungen,2,undirected
hesse_märchen,hesse_knulpdreigeschichtenausdemlebenknulps,1,undirected
hesse_märchen,hesse_nachbarnerzählungen,4,undirected
hesse_märchen,hesse_schönistdiejugendzweierzählungen,2,undirected
hesse_märchen,hesse_umwegeerzählungen,3,undirected
hesse_märchen,mannH_dietoteundanderenovellen,2,undirected
hesse_märchen,mannH_flötenunddolchenovellen,2,undirected
hesse_märchen,walser_kleinedichtungen,1,undirected
hesse_nachbarnerzählungen,doeblin_diebeidenfreundinnenundihrgiftmord,3,undirected
hesse_nachbarnerzählungen,hesse_diesseitserzählungen,5,undirected
hesse_nachbarnerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,2,undirected
hesse_nachbarnerzählungen,hesse_märchen,4,undirected
hesse_nachbarnerzählungen,hesse_umwegeerzählungen,6,undirected
hesse_nachbarnerzählungen,kafka_dieverwandlung,1,undirected
hesse_nachbarnerzählungen,mannT_toniokröger,2,undirected
hesse_schönistdiejugendzweierzählungen,hesse_diesseitserzählungen,4,undirected
hesse_schönistdiejugendzweierzählungen,hesse_märchen,2,undirected
hesse_schönistdiejugendzweierzählungen,walser_kleinedichtungen,1,undirected
