"doeblin_diebeidenfreundinnenundihrgiftmord" "doeblin_dieermordungeinerbutterblumeundandereerzählungen" "doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten" "hesse_diesseitserzählungen" "hesse_knulpdreigeschichtenausdemlebenknulps" "hesse_märchen" "hesse_nachbarnerzählungen" "hesse_schönistdiejugendzweierzählungen" "hesse_umwegeerzählungen" "kafka_beschreibungeineskampfes" "kafka_dasschloß" "kafka_dasurteil" "kafka_derbau" "kafka_derprozess" "kafka_derverschollene" "kafka_dieverwandlung" "kafka_forschungeineshundes" "kafka_Hungerkünstler" "kafka_inderstrafkolonie" "kafkaAmt_Arbeiter-VersicherungUnternehmer154" "kafkaAmt_Brief132" "kafkaAmt_BriefandenVorstand133" "kafkaAmt_KriegslageGefahrenklassen281" "kafkaAmt_RedeAmtseinsetzungdesDirektors121" "kafkaAmt_UnfallverhuetungErsteHilfe267" "mannH_dieehrgeizigenovelle" "mannH_dietoteundanderenovellen" "mannH_flötenunddolchenovellen" "mannT_derkleineherrfriedemannnovellen" "mannT_dertodinvenedig" "mannT_gladiusdeischwerestunde" "mannT_toniokröger" "walser_derspaziergang" "walser_dieschlachtbeisempach" "walser_geschichten" "walser_kleinedichtungen"
"sagte" 0.742311770943796 0.8 0.730193501277839 1.91162644938891 2.30769230769231 2.21208665906499 1.27378518635006 1.44804088586031 1.12090680100756 3.67261280167891 6.72637864418686 4.08163265306122 0.136054421768707 7.09534368070953 6.11768772142055 2.04336947456214 1.94765672550213 2.5062656641604 4.59518599562363 0 0 0 0 0 0 1.91256830601093 3.49702380952381 1.88372848327379 2.27154046997389 0.604838709677419 2.22693531283139 2.40873165223937 1.24939932724652 0 0.522408578498763 0.452023833983974
"sah" 0.742311770943796 1.31764705882353 0.754533284653767 2.50705108116578 2.45562130177515 2.59977194982896 1.27378518635006 2.17206132879046 1.63727959697733 1.36411332633788 0.781524411661398 1.22448979591837 0.0680272108843537 1.52187059060673 1.59854834528644 1.62635529608007 0.79123554473524 0.75187969924812 2.04230488694384 0 0 0 0 0 0 1.09289617486339 2.5297619047619 1.29912309191296 0.992167101827676 1.20967741935484 1.06044538706257 1.39254798645088 0.67275348390197 0.72463768115942 0.357437448446522 1.19169919868502
"hatte" 2.26228349240014 0.894117647058824 0.742363392965803 1.75493575681605 1.98224852071006 1.34549600912201 1.9028149080044 1.53321976149915 2.14105793450882 0.629590766002099 1.22058306989814 1.83673469387755 0.408163265306122 1.27998387421891 1.58990754342003 2.21017514595496 0.547778454047474 1.50375939849624 1.60466812545587 0.75187969924812 0 0 0.495049504950495 0 0.564971751412429 1.91256830601093 1.48809523809524 0.682039623254303 1.43603133159269 1.34408602150538 0.848356309650053 1.09145652992096 0.528592023065834 1.44927536231884 0.577398955182843 0.678035750975961
"ging" 0.919052668787557 1.64705882352941 0.742363392965803 1.73926668755876 1.21301775147929 1.20866590649943 1.43104261676364 1.44804088586031 1.13350125944584 1.46904512067156 0.553213909378293 1.02040816326531 0.136054421768707 0.846603507357388 0.630778536248164 0.750625521267723 0.365185636031649 0.75187969924812 1.09409190371991 0 0 0 0 0 0.564971751412429 0.819672131147541 1.48809523809524 0.909386164339071 0.757180156657963 0.940860215053763 0.95440084835631 1.46782085058336 0.384430562229697 1.44927536231884 0.357437448446522 2.09574686665297
"kam" 1.80275715800636 0.564705882352941 0.742363392965803 1.44155437167032 0.857988165680473 1.52793614595211 1.76128322063217 1.49063032367973 1.00755667506297 0.786988457502623 0.67615033368458 0 0.204081632653061 0.393065914130216 0.535729715717619 0.667222685571309 0.486914181375533 1.75438596491228 0.437636761487965 0.75187969924812 0 0 0.247524752475248 0 0.564971751412429 0.546448087431694 1.48809523809524 0.941864241636895 0.574412532637076 0.705645161290323 0.106044538706257 0.790365073391043 0.624699663623258 0.36231884057971 0.467418201814682 1.39716457776865
"stand" 0.388829975256274 0.988235294117647 0.815382743093586 0.987151363209025 0.917159763313609 1.34549600912201 0.613303978612989 1.70357751277683 0.642317380352645 1.10178384050367 0.47418335089568 1.63265306122449 0 0.675267083249345 0.682623347446643 0.542118432026689 0.304321363359708 0.25062656641604 0.583515681983953 0.37593984962406 5.55555555555556 0 0.247524752475248 0 0 0.136612021857924 1.26488095238095 1.00682039623254 0.966057441253264 0.604838709677419 1.80275715800636 1.5054572826496 0.336376741950985 0 0.274951883420401 0.92459420587631
"fragte" 0.0706963591375044 0.517647058823529 0.304247292199099 0.877467878408023 0.591715976331361 0.456100342075257 0.471772291240761 0.511073253833049 0.465994962216625 0.157397691500525 1.28205128205128 1.02040816326531 0 1.74360008062891 1.1146634407673 0.333611342785655 0.243457090687766 0.75187969924812 0.87527352297593 0 0 0 0.247524752475248 0 0 0.273224043715847 0.37202380952381 0.357258850276064 0.522193211488251 0.235215053763441 0.424178154825027 0.489273616861122 0.288322921672273 0 0.109980753368161 0.0616396137250873
"haben" 0.459526334393779 0.0941176470588235 0.486795667518559 0.454403008461297 1.03550295857988 0.433295324971494 0.581852492530272 0.468483816013629 0.604534005037783 0.68205666316894 0.816649104320337 0.816326530612245 1.15646258503401 0.876839346905866 0.803594573576428 0.417014178482068 0.547778454047474 0.25062656641604 0.656455142231947 0.75187969924812 0 0 0.495049504950495 0 0.282485875706215 0.409836065573771 0.446428571428571 0.682039623254303 0.391644908616188 0.0672043010752688 0.106044538706257 0.526910048927362 1.15329168668909 0.36231884057971 0.962331591971405 0.657489213067598
"schien" 0.0353481795687522 0.235294117647059 0.158208591943532 0.705108116577875 0.443786982248521 0.843785632839225 0.534675263406196 0.766609880749574 0.894206549118388 0.786988457502623 0.67615033368458 1.22448979591837 0.272108843537415 0.574480951421084 0.855439384774907 0.834028356964137 0.669506999391357 0.75187969924812 0.656455142231947 0 5.55555555555556 0 0 0 0 0.273224043715847 1.04166666666667 0.129912309191296 0.339425587467363 1.54569892473118 0.424178154825027 0.451637184794881 0.432484382508409 2.17391304347826 0.549903766840803 0.739675364701048
"ließ" 0.777659950512549 0.729411764705882 1.09529025191676 0.799122532121592 0.710059171597633 0.456100342075257 0.786287152067935 0.340715502555366 0.818639798488665 0.891920251836306 0.360028099754127 0.408163265306122 0.136054421768707 0.352751461398912 0.492525706385553 0.708924103419516 0.182592818015825 0.75187969924812 0.510576221735959 0 0 0 0 0 0 1.36612021857923 0.297619047619048 0.714517700552127 0 1.14247311827957 0.95440084835631 0.602182913059842 0.336376741950985 0.36231884057971 0.219961506736321 0.226011916991987
