Source,Target,Weight,Type
doeblin_diebeidenfreundinnenundihrgiftmord,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,3,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,hesse_nachbarnerzählungen,12,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,hesse_umwegeerzählungen,6,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,kafka_dieverwandlung,1,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,mannH_dieehrgeizigenovelle,6,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,mannH_flötenunddolchenovellen,1,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,mannT_dertodinvenedig,3,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,21,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,hesse_diesseitserzählungen,2,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,hesse_nachbarnerzählungen,1,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannH_flötenunddolchenovellen,8,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannT_toniokröger,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_diebeidenfreundinnenundihrgiftmord,3,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_dieermordungeinerbutterblumeundandereerzählungen,21,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,hesse_diesseitserzählungen,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,hesse_umwegeerzählungen,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_beschreibungeineskampfes,5,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_derprozess,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_dieverwandlung,3,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannH_flötenunddolchenovellen,22,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_derkleineherrfriedemannnovellen,5,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_dertodinvenedig,7,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_toniokröger,8,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,walser_kleinedichtungen,1,undirected
hesse_diesseitserzählungen,doeblin_dieermordungeinerbutterblumeundandereerzählungen,2,undirected
hesse_diesseitserzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,1,undirected
hesse_diesseitserzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,12,undirected
hesse_diesseitserzählungen,hesse_märchen,15,undirected
hesse_diesseitserzählungen,hesse_nachbarnerzählungen,19,undirected
hesse_diesseitserzählungen,hesse_schönistdiejugendzweierzählungen,16,undirected
hesse_diesseitserzählungen,hesse_umwegeerzählungen,14,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_diesseitserzählungen,12,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_nachbarnerzählungen,6,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_schönistdiejugendzweierzählungen,2,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_umwegeerzählungen,4,undirected
hesse_märchen,hesse_diesseitserzählungen,15,undirected
hesse_märchen,hesse_nachbarnerzählungen,11,undirected
hesse_märchen,hesse_schönistdiejugendzweierzählungen,8,undirected
hesse_märchen,hesse_umwegeerzählungen,2,undirected
hesse_nachbarnerzählungen,doeblin_diebeidenfreundinnenundihrgiftmord,12,undirected
hesse_nachbarnerzählungen,doeblin_dieermordungeinerbutterblumeundandereerzählungen,1,undirected
hesse_nachbarnerzählungen,hesse_diesseitserzählungen,19,undirected
hesse_nachbarnerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,6,undirected
hesse_nachbarnerzählungen,hesse_märchen,11,undirected
hesse_nachbarnerzählungen,hesse_schönistdiejugendzweierzählungen,4,undirected
hesse_nachbarnerzählungen,hesse_umwegeerzählungen,24,undirected
hesse_nachbarnerzählungen,kafka_Hungerkünstler,3,undirected
hesse_schönistdiejugendzweierzählungen,hesse_diesseitserzählungen,16,undirected
hesse_schönistdiejugendzweierzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,2,undirected
hesse_schönistdiejugendzweierzählungen,hesse_märchen,8,undirected
hesse_schönistdiejugendzweierzählungen,hesse_nachbarnerzählungen,4,undirected
hesse_schönistdiejugendzweierzählungen,hesse_umwegeerzählungen,4,undirected
hesse_schönistdiejugendzweierzählungen,mannH_dietoteundanderenovellen,2,undirected
hesse_umwegeerzählungen,doeblin_diebeidenfreundinnenundihrgiftmord,6,undirected
hesse_umwegeerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,1,undirected
hesse_umwegeerzählungen,hesse_diesseitserzählungen,14,undirected
hesse_umwegeerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,4,undirected
hesse_umwegeerzählungen,hesse_märchen,2,undirected
hesse_umwegeerzählungen,hesse_nachbarnerzählungen,24,undirected
hesse_umwegeerzählungen,hesse_schönistdiejugendzweierzählungen,4,undirected
hesse_umwegeerzählungen,kafka_dasschloß,1,undirected
hesse_umwegeerzählungen,kafka_derprozess,2,undirected
hesse_umwegeerzählungen,kafka_derverschollene,4,undirected
hesse_umwegeerzählungen,kafka_dieverwandlung,8,undirected
hesse_umwegeerzählungen,kafka_Hungerkünstler,2,undirected
hesse_umwegeerzählungen,mannH_dieehrgeizigenovelle,8,undirected
hesse_umwegeerzählungen,mannT_derkleineherrfriedemannnovellen,1,undirected
hesse_umwegeerzählungen,mannT_dertodinvenedig,7,undirected
kafka_beschreibungeineskampfes,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,5,undirected
kafka_beschreibungeineskampfes,kafka_derprozess,10,undirected
kafka_beschreibungeineskampfes,kafka_derverschollene,6,undirected
kafka_beschreibungeineskampfes,mannH_flötenunddolchenovellen,3,undirected
kafka_dasschloß,hesse_umwegeerzählungen,1,undirected
kafka_dasschloß,kafka_derprozess,20,undirected
kafka_dasschloß,kafka_derverschollene,16,undirected
kafka_dasschloß,kafka_forschungeineshundes,14,undirected
kafka_dasschloß,kafka_inderstrafkolonie,9,undirected
kafka_dasschloß,walser_derspaziergang,3,undirected
kafka_dasschloß,walser_geschichten,4,undirected
kafka_dasurteil,kafka_derprozess,10,undirected
kafka_dasurteil,kafka_derverschollene,6,undirected
kafka_dasurteil,kafka_inderstrafkolonie,1,undirected
kafka_dasurteil,kafkaAmt_Brief132,1,undirected
kafka_dasurteil,kafkaAmt_BriefandenVorstand133,5,undirected
kafka_dasurteil,mannH_flötenunddolchenovellen,1,undirected
kafka_derbau,kafka_forschungeineshundes,5,undirected
kafka_derbau,kafkaAmt_BriefandenVorstand133,4,undirected
kafka_derbau,walser_derspaziergang,6,undirected
kafka_derbau,walser_geschichten,13,undirected
kafka_derprozess,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,1,undirected
kafka_derprozess,hesse_umwegeerzählungen,2,undirected
kafka_derprozess,kafka_beschreibungeineskampfes,10,undirected
kafka_derprozess,kafka_dasschloß,20,undirected
kafka_derprozess,kafka_dasurteil,10,undirected
kafka_derprozess,kafka_derverschollene,24,undirected
kafka_derprozess,kafka_forschungeineshundes,4,undirected
kafka_derprozess,kafka_inderstrafkolonie,11,undirected
kafka_derprozess,mannH_flötenunddolchenovellen,2,undirected
kafka_derverschollene,hesse_umwegeerzählungen,4,undirected
kafka_derverschollene,kafka_beschreibungeineskampfes,6,undirected
kafka_derverschollene,kafka_dasschloß,16,undirected
kafka_derverschollene,kafka_dasurteil,6,undirected
kafka_derverschollene,kafka_derprozess,24,undirected
kafka_derverschollene,kafka_dieverwandlung,14,undirected
kafka_derverschollene,kafka_forschungeineshundes,5,undirected
