Source,Target,Weight,Type
doeblin_diebeidenfreundinnenundihrgiftmord,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,5,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,hesse_nachbarnerzählungen,15,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,hesse_umwegeerzählungen,10,undirected
doeblin_diebeidenfreundinnenundihrgiftmord,mannH_dieehrgeizigenovelle,5,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,29,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,hesse_diesseitserzählungen,5,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,hesse_nachbarnerzählungen,1,undirected
doeblin_dieermordungeinerbutterblumeundandereerzählungen,mannH_flötenunddolchenovellen,9,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_diebeidenfreundinnenundihrgiftmord,5,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,doeblin_dieermordungeinerbutterblumeundandereerzählungen,29,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,hesse_diesseitserzählungen,2,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,hesse_nachbarnerzählungen,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,hesse_umwegeerzählungen,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_beschreibungeineskampfes,5,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_derprozess,1,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,kafka_dieverwandlung,3,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannH_flötenunddolchenovellen,26,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_derkleineherrfriedemannnovellen,3,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_dertodinvenedig,4,undirected
doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,mannT_toniokröger,4,undirected
hesse_diesseitserzählungen,doeblin_dieermordungeinerbutterblumeundandereerzählungen,5,undirected
hesse_diesseitserzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,2,undirected
hesse_diesseitserzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,15,undirected
hesse_diesseitserzählungen,hesse_märchen,19,undirected
hesse_diesseitserzählungen,hesse_nachbarnerzählungen,25,undirected
hesse_diesseitserzählungen,hesse_schönistdiejugendzweierzählungen,16,undirected
hesse_diesseitserzählungen,hesse_umwegeerzählungen,20,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_diesseitserzählungen,15,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_nachbarnerzählungen,10,undirected
hesse_knulpdreigeschichtenausdemlebenknulps,hesse_umwegeerzählungen,5,undirected
hesse_märchen,hesse_diesseitserzählungen,19,undirected
hesse_märchen,hesse_nachbarnerzählungen,15,undirected
hesse_märchen,hesse_schönistdiejugendzweierzählungen,4,undirected
hesse_märchen,hesse_umwegeerzählungen,4,undirected
hesse_nachbarnerzählungen,doeblin_diebeidenfreundinnenundihrgiftmord,15,undirected
hesse_nachbarnerzählungen,doeblin_dieermordungeinerbutterblumeundandereerzählungen,1,undirected
hesse_nachbarnerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,1,undirected
hesse_nachbarnerzählungen,hesse_diesseitserzählungen,25,undirected
hesse_nachbarnerzählungen,hesse_knulpdreigeschichtenausdemlebenknulps,10,undirected
hesse_nachbarnerzählungen,hesse_märchen,15,undirected
hesse_nachbarnerzählungen,hesse_schönistdiejugendzweierzählungen,7,undirected
hesse_nachbarnerzählungen,hesse_umwegeerzählungen,30,undirected
hesse_schönistdiejugendzweierzählungen,hesse_diesseitserzählungen,16,undirected
hesse_schönistdiejugendzweierzählungen,hesse_märchen,4,undirected
hesse_schönistdiejugendzweierzählungen,hesse_nachbarnerzählungen,7,undirected
hesse_schönistdiejugendzweierzählungen,hesse_umwegeerzählungen,5,undirected
hesse_umwegeerzählungen,doeblin_diebeidenfreundinnenundihrgiftmord,10,undirected
hesse_umwegeerzählungen,doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten,1,undirected
hesse_umwegeerzählungen,hesse_diesseitserzählungen,20,undirected
